Date, Temperature, Humidity
19/05/2020 16:40,22,58
19/05/2020 16:41,22,58
19/05/2020 16:41,22,58
19/05/2020 16:42,22,58
19/05/2020 16:43,22,58
19/05/2020 16:43,22,58
19/05/2020 16:44,22,58
19/05/2020 16:45,22,58
19/05/2020 16:45,22,58
19/05/2020 16:46,22,58
19/05/2020 16:47,22,58
19/05/2020 16:47,22,58
19/05/2020 16:48,22,58
19/05/2020 16:49,22,57
19/05/2020 16:49,21,57
19/05/2020 16:50,21,57
19/05/2020 16:51,22,57
19/05/2020 16:51,21,57
19/05/2020 16:52,21,57
19/05/2020 16:53,22,57
19/05/2020 16:53,22,58
19/05/2020 16:54,22,58
19/05/2020 16:55,22,57
19/05/2020 16:55,22,58
19/05/2020 16:56,22,58
19/05/2020 16:57,22,58
19/05/2020 16:58,22,58
19/05/2020 16:59,22,58
19/05/2020 16:59,22,58
19/05/2020 17:00,22,58
19/05/2020 17:01,22,61
19/05/2020 17:01,22,58
19/05/2020 17:02,22,57
19/05/2020 17:03,22,61
19/05/2020 17:03,22,57
19/05/2020 17:04,22,57
19/05/2020 17:05,22,61
19/05/2020 17:05,22,58
19/05/2020 17:06,22,57
19/05/2020 17:07,22,58
19/05/2020 17:07,22,61
19/05/2020 17:08,22,58
19/05/2020 17:09,22,58
19/05/2020 17:09,22,61
19/05/2020 17:10,22,58
19/05/2020 17:11,22,57
19/05/2020 17:11,22,57
19/05/2020 17:12,22,57
19/05/2020 17:12,22,57
19/05/2020 17:13,22,57
19/05/2020 17:13,22,58
19/05/2020 17:14,22,57
19/05/2020 17:15,22,57
19/05/2020 17:15,21,57
19/05/2020 17:17,22,57
19/05/2020 17:17,22,58
19/05/2020 17:18,22,58
19/05/2020 17:19,22,57
19/05/2020 17:19,22,58
19/05/2020 17:19,22,58
19/05/2020 17:19,22,58
19/05/2020 17:20,22,58
19/05/2020 17:21,22,57
19/05/2020 17:21,22,57
19/05/2020 17:23,22,57
19/05/2020 17:23,22,58
19/05/2020 17:25,22,58
19/05/2020 17:25,21,57
19/05/2020 17:27,21,57
19/05/2020 17:27,21,57
19/05/2020 17:28,21,57
19/05/2020 17:29,21,57
19/05/2020 17:29,21,57
19/05/2020 17:31,21,57
19/05/2020 17:31,21,57
19/05/2020 17:33,21,57
19/05/2020 17:33,22,58
19/05/2020 17:35,21,57
19/05/2020 17:35,21,58
19/05/2020 17:36,21,57
19/05/2020 17:37,21,57
19/05/2020 17:38,21,58
19/05/2020 17:39,21,58
19/05/2020 17:39,21,58
19/05/2020 17:40,21,58
19/05/2020 17:41,21,58
19/05/2020 17:41,21,58
19/05/2020 17:42,21,57
19/05/2020 17:43,22,59
19/05/2020 17:43,21,58
19/05/2020 17:44,21,57
19/05/2020 17:45,22,59
19/05/2020 17:45,21,57
19/05/2020 17:46,21,57
19/05/2020 17:47,22,59
19/05/2020 17:47,21,58
19/05/2020 17:48,21,58
19/05/2020 17:49,21,58
19/05/2020 17:49,21,58
19/05/2020 17:50,21,58
19/05/2020 17:51,21,58
19/05/2020 17:51,21,58
19/05/2020 17:52,21,58
19/05/2020 17:52,22,59
19/05/2020 17:53,21,58
19/05/2020 17:54,22,59
19/05/2020 17:54,21,57
19/05/2020 17:55,21,58
19/05/2020 17:56,22,59
19/05/2020 17:56,21,57
19/05/2020 17:57,21,57
19/05/2020 17:58,22,59
19/05/2020 17:58,21,57
19/05/2020 17:59,21,58
19/05/2020 18:00,22,59
19/05/2020 18:00,21,57
19/05/2020 18:01,21,58
19/05/2020 18:01,21,57
19/05/2020 18:03,21,58
19/05/2020 18:03,21,58
19/05/2020 18:03,22,58
19/05/2020 18:05,22,58
19/05/2020 18:05,22,59
19/05/2020 18:05,22,59
19/05/2020 18:07,22,58
19/05/2020 18:07,22,58
19/05/2020 18:07,22,58
19/05/2020 18:09,22,58
19/05/2020 18:09,22,58
19/05/2020 18:09,22,58
19/05/2020 18:11,22,58
19/05/2020 18:11,22,58
19/05/2020 18:11,22,59
19/05/2020 18:12,21,58
19/05/2020 18:13,21,58
19/05/2020 18:14,21,58
19/05/2020 18:15,21,58
19/05/2020 18:16,22,58
19/05/2020 18:17,21,58
19/05/2020 18:18,22,58
19/05/2020 18:18,22,58
19/05/2020 18:19,22,58
19/05/2020 18:20,22,58
19/05/2020 18:20,22,58
19/05/2020 18:21,22,58
19/05/2020 18:22,22,58
19/05/2020 18:22,21,58
19/05/2020 18:23,22,59
19/05/2020 18:24,21,58
19/05/2020 18:24,21,58
19/05/2020 18:25,21,58
19/05/2020 18:26,21,58
19/05/2020 18:26,21,58
19/05/2020 18:27,21,58
19/05/2020 18:28,21,58
19/05/2020 18:28,22,58
19/05/2020 18:29,22,58
19/05/2020 18:30,21,58
19/05/2020 18:30,21,57
19/05/2020 18:31,22,58
19/05/2020 18:32,21,57
19/05/2020 18:32,21,58
19/05/2020 18:33,22,58
19/05/2020 18:34,21,58
19/05/2020 18:34,21,58
19/05/2020 18:35,21,58
19/05/2020 18:36,21,58
19/05/2020 18:36,21,58
19/05/2020 18:37,21,58
19/05/2020 18:38,21,58
19/05/2020 18:38,21,58
19/05/2020 18:39,21,58
19/05/2020 18:40,21,58
19/05/2020 18:40,22,58
19/05/2020 18:41,22,59
19/05/2020 18:42,22,58
19/05/2020 18:42,21,58
19/05/2020 18:43,22,59
19/05/2020 18:44,22,58
19/05/2020 18:44,21,58
19/05/2020 18:45,21,58
19/05/2020 18:46,21,58
19/05/2020 18:46,21,58
19/05/2020 18:47,21,58
19/05/2020 18:48,21,58
19/05/2020 18:48,21,58
19/05/2020 18:49,21,58
19/05/2020 18:50,21,58
19/05/2020 18:50,21,58
19/05/2020 18:51,21,58
19/05/2020 18:52,21,58
19/05/2020 18:52,21,58
19/05/2020 18:53,21,58
19/05/2020 18:54,21,58
19/05/2020 18:54,21,58
19/05/2020 18:55,21,58
19/05/2020 18:56,21,58
19/05/2020 18:56,21,58
19/05/2020 18:57,21,59
19/05/2020 18:58,21,58
19/05/2020 18:58,21,58
19/05/2020 18:59,21,59
19/05/2020 19:00,21,58
19/05/2020 19:00,21,58
19/05/2020 19:01,21,58
19/05/2020 19:02,21,58
19/05/2020 19:02,21,58
19/05/2020 19:03,21,58
19/05/2020 19:04,21,58
19/05/2020 19:04,21,58
19/05/2020 19:04,21,58
19/05/2020 19:08,21,59
19/05/2020 19:09,21,59
19/05/2020 19:09,21,59
19/05/2020 19:12,21,59
19/05/2020 19:13,21,59
19/05/2020 19:13,21,58
19/05/2020 19:16,21,59
19/05/2020 19:21,22,59
19/05/2020 19:25,22,59
19/05/2020 19:29,22,58
19/05/2020 19:30,22,58
19/05/2020 19:31,22,58
19/05/2020 19:31,22,58
19/05/2020 19:35,22,58
19/05/2020 19:35,22,57
19/05/2020 19:39,22,58
19/05/2020 19:39,22,57
19/05/2020 19:43,22,58
19/05/2020 19:43,22,58
19/05/2020 19:47,22,58
19/05/2020 19:47,21,58
19/05/2020 19:51,22,59
19/05/2020 19:51,21,60
19/05/2020 19:55,22,59
19/05/2020 19:55,21,59
19/05/2020 19:59,21,59
19/05/2020 19:59,21,60
19/05/2020 20:03,21,60
19/05/2020 20:03,21,61
19/05/2020 20:07,21,60
19/05/2020 20:07,21,60
19/05/2020 20:11,21,61
19/05/2020 20:11,21,61
19/05/2020 20:15,21,61
19/05/2020 20:15,21,60
19/05/2020 20:19,21,60
19/05/2020 20:19,21,61
19/05/2020 20:23,21,60
19/05/2020 20:23,21,61
19/05/2020 20:27,21,61
19/05/2020 20:27,21,61
19/05/2020 20:31,21,61
19/05/2020 20:31,21,61
19/05/2020 20:35,21,62
19/05/2020 20:35,21,61
19/05/2020 20:39,21,62
19/05/2020 20:39,21,62
19/05/2020 20:43,21,62
19/05/2020 20:43,21,62
19/05/2020 20:47,21,62
19/05/2020 20:47,21,62
19/05/2020 20:51,21,62
19/05/2020 20:51,20,61
19/05/2020 20:55,21,62
19/05/2020 20:55,20,61
19/05/2020 20:59,20,61
19/05/2020 20:59,20,62
19/05/2020 21:03,20,62
19/05/2020 21:03,20,62
19/05/2020 21:07,20,62
19/05/2020 21:07,20,62
19/05/2020 21:11,20,62
19/05/2020 21:11,20,62
19/05/2020 21:15,20,62
19/05/2020 21:15,20,62
19/05/2020 21:19,20,62
19/05/2020 21:19,20,62
19/05/2020 21:23,20,62
19/05/2020 21:23,20,63
19/05/2020 21:27,20,63
19/05/2020 21:27,20,63
19/05/2020 21:31,19,63
19/05/2020 21:31,19,63
19/05/2020 21:35,20,63
19/05/2020 21:35,19,63
19/05/2020 21:39,20,63
19/05/2020 21:39,19,63
19/05/2020 21:43,19,63
19/05/2020 21:43,19,63
19/05/2020 21:47,19,63
19/05/2020 21:47,19,63
19/05/2020 21:51,19,63
19/05/2020 21:51,19,63
19/05/2020 21:55,19,63
19/05/2020 21:55,19,63
19/05/2020 21:59,19,63
19/05/2020 21:59,19,64
19/05/2020 22:03,19,63
19/05/2020 22:03,19,64
19/05/2020 22:07,19,64
19/05/2020 22:07,19,64
19/05/2020 22:11,19,64
19/05/2020 22:11,19,64
19/05/2020 22:15,19,64
19/05/2020 22:15,19,64
19/05/2020 22:19,19,64
19/05/2020 22:23,19,64
19/05/2020 22:23,19,64
19/05/2020 22:27,19,64
19/05/2020 22:27,19,64
19/05/2020 22:31,19,64
19/05/2020 22:31,19,64
19/05/2020 22:35,19,64
19/05/2020 22:35,19,64
19/05/2020 22:39,19,64
19/05/2020 22:39,19,64
19/05/2020 22:43,19,64
19/05/2020 22:43,19,64
